entry,meaning,ipa,example_sentence,translated_sentence
distinguish,"【動】区別する, 識別する;【形】はっきりとした, 独特な.",/dɪˈstɪŋɡwɪʃ/,It is important to distinguish between right and wrong.,正しいことと間違ったことを区別することは重要です。
massive,"【形】巨大な, 非常に大きい.",/mæsɪv/,The elephant is massive.,象は大きいです。
greet,"【動】挨拶する, 迎える.",/ɡriːt/,I greet my friends every morning.,私は毎朝友達に挨拶をします。
period,"【名】期間, 時代; 終止符, 句点.",/ˈpɪəriəd/,The period of the dinosaurs lasted [[up to]] 65 million years.,"恐竜の時代は6,500万年まで続いたと言われています。"
crucial,"【形】非常に重要な, 決定的な.",/ˈkruːʃəl/,This information is crucial for the success of the project.,この情報はプロジェクトの成功に重要です。
transition,"【名】移行, 変遷;【動】移行する.",/trænˈzɪʃən/,The transition from summer to autumn is always beautiful.,夏から秋への移り変わりはいつも美しいです。
competitive,"【形】競争力のある, 競争的な.",/kəmˈpɛtətɪv/,She is very competitive and always wants to win.,彼女はとても競争心が強く、いつも勝ちたがっています。
responsibility,"【名】責任, 義務.",/rɪˌspɑːnsəˈbɪləti/,Taking responsibility for your actions is important.,自分の行動に責任を持つことは重要です。
discussion,"【名】討論, 議論.",/dɪˈskʌʃən/,The discussion about the new project lasted for hours.,新しいプロジェクトについての議論は数時間続きました。
democratic,"【形】民主主義の, 民主的な.",/dɪˈmɑːkrətɪk/,The country has a strong democratic tradition.,その国は強い民主主義の伝統を持っています。
such,"【形】そのような, そんな.",/sʌtʃ/,I have never seen such a beautiful sunset before.,私はこんな美しい夕日を見たことがありません。
indication,"【名】兆候, しるし.",/ˌɪndɪˈkeɪʃən/,The doctor gave me an indication of how long my recovery would take.,医者は私に回復にどれくらい時間がかかるかの指摘をしました。
fund,"【名】資金, 基金;【動】資金を提供する.",/fʌnd/,I need to raise funds for my new business venture.,新しいビジネスベンチャーのために資金を集める必要があります。
statement,"【名】声明, 発言.",/ˈsteɪtmənt/,He made a statement to the police about the incident.,彼は警察にその事件についての声明をした。
morning,"【名】朝, 午前.",/'mɔːrnɪŋ/,The morning sun was so beautiful.,朝日が美しかった。
rural,"【形】田舎の, 農村の.",/ˈrʊərəl/,I grew up in a rural area surrounded by fields and farms.,私は田舎の畑や農場に囲まれた地域で育ちました。
folk,"【名】民衆, 人々;【形】民間の, 伝統的な.",/fəʊk/,"Now folks, let's go on.",さあ、みんな、先へ進もう。
hundred,"【名】100, 百.",/ˈhʌn.dɹəd/,There are a hundred people in the room.,部屋には百人います。
inform,"【動】通知する, 知らせる.",/ɪnˈfɔrm/,I will inform him of the meeting.,私は彼に会議のことを知らせます。
otherwise,"【副】さもなければ, それ以外には.",/ˈʌðɚˌwaɪz/,"I don't like spicy food, but otherwise, I enjoy trying new dishes.",辛い食べ物は好きではありませんが、それを除けば新しい料理を試すのが楽しいです。
judgment,"【名】判断, 裁判.",/ˈdʒʌdʒ.mənt/,,
department,"【名】部門, 部署.",/dɪˈpɑːrtmənt/,The marketing department is responsible for promoting the company's products.,マーケティング部門は、会社の製品の宣伝を担当しています。
