entry,meaning,ipa,example_sentence,translated_sentence
trait,"【名】特性, 特徴.",/ treɪt /,Her kindness is a trait that everyone admires.,彼女の優しさは、誰もが称賛する特徴です。
utility,"【名】有用性, 実用性.",/juˈtɪlɪti/,The utility company provides electricity and water to the residents.,公共事業会社は住民に電気と水を供給しています。
morphology,"【名】形態学, 形態.",/mɔrˈfɑlədʒi/,Morphology is the study of the structure of organisms.,形態学は生物の構造の研究です。
inequality,"【名】不平等, 不均衡.",/ɪnɪˈkwɒlɪti/,There is a growing inequality between the rich and the poor in our society.,私たちの社会では、富裕層と貧困層の間で格差が広がっています。
phosphate,【名】リン酸塩.,/fɒsfeɪt/,Phosphate is an essential nutrient for plant growth.,リン酸塩は植物の成長に必要な栄養素です。
depict,"【動】描く, 描写する.",/dɪˈpɪkt/,The artist used vibrant colors to depict the beauty of nature.,芸術家は鮮やかな色を使って自然の美しさを描き表しました。
shuttle,"【名】シャトル, 往復便;【動】往復させる.",/ˈʃʌtəl/,I took the shuttle to the airport.,私はシャトルバスで空港に行きました。
actively,"【副】積極的に, 活動的に.",/ˈæk.tɪv.li/,She is actively participating in the community service.,彼女は積極的に地域奉仕活動に参加しています。
adaptive,"【形】適応性のある, 順応性の.",/əˈdæptɪv/,The adaptive nature of the human brain allows us to learn and adjust to new situations.,人間の脳の適応性により、私たちは新しい状況に学び、適応することができます。
adjacent,"【形】隣接した, 近接した.",/əˈdʒeɪsənt/,The two buildings are adjacent to each other.,その二つの建物は互いに近接しています。
mutation,【名】突然変異.,/mjuˈteɪʃən/,The mutation of the virus caused a pandemic.,ウィルスの変異がパンデミックを引き起こした。
aerosol,"【名】エアロゾル, 噴霧物.",/ˈɛərəˌsɒl/,[[Bug spray]] is an aerosol you spray on your skin to [[ward off]] harmful insects.,虫除けスプレーは、有害な虫を追い払うために肌に吹きかけるスプレー缶です。
algebra,【名】代数学.,/ˈæl.dʒɪ.brə/,I am studying algebra for my upcoming math exam.,私はこれからの数学の試験のために代数を勉強しています。
anthropology,【名】人類学.,/ænˈθrɑpəˌlɑdʒi/,I am studying anthropology to understand the evolution of human societies.,人類学を学んで人間社会の進化を理解しています。
antibody,【名】抗体.,/ˈæntɪˌbɒdi/,The human body produces an antibody to fight off the virus.,人間の体はウイルスを撃退するための抗体を生成します。
liver,【名】肝臓.,/ˈlaɪ.vər/,The liver is responsible for detoxifying the body.,肝臓は体を解毒する役割を担っています。
pulse,"【名】脈拍, 鼓動.",/pʌls/,I could feel my pulse racing as I ran the marathon.,私はマラソンを走っている間、鼓動が速まっているのを感じることができました。
mole,"【名】モル, ほくろ.",/moʊl/,I have a mole on my cheek.,私の頬にほくろがあります。
oscillation,"【名】振動, 揺れ.",/ˌɑːsɪˈleɪʃən/,The pendulum's oscillation was mesmerizing to watch.,振り子の振動は見ていて魅了されるものだった。
super,"【形】最高の, 超.",/suːpər/,He is doing a super job.,彼ならすごいことをやらかしそうだ。
tract,"【名】管, 道;【名】地域.",/trækt/,The farmer had to purchase a new tract of land to expand his farm.,農夫は農場を拡張するために新しい土地を購入しなければなりませんでした。
temporal,"【形】時間の, 一時的な.",/ˈtɛmpərəl/,The temporary employee will start working next week.,臨時社員は来週から働き始めます。
unity,"【名】統一, 統合.",/juːˈnɪti/,Unity is important for a team to succeed.,チームが成功するためには団結が重要だ。
paradigm,"【名】パラダイム, 模範.",/pəˈrædɪm/,The shift from traditional teaching methods to online learning is a paradigm shift in education.,従来の教育方法からオンライン学習への移行は教育の範例の転換です。
parameter,"【名】パラメータ, 要素.",/pəˈræmətər/,The function takes a parameter and returns a value.,関数はパラメータを受け取り、値を返します。
