entry,meaning,ipa,example_sentence,translated_sentence
appetizer,"【名】前菜, アペタイザー",/ˈæp.ɪ.taɪ.zər/,I ordered a delicious appetizer at the restaurant.,私はレストランで美味しい前菜を注文しました。
enthusiastic,"【形】熱心な, 熱狂的な",/ɪnˌθ(j)uːziˈæstɪk/,The concert was jam-packed with enthusiastic fans.,コンサート会場は熱狂的なファンでぎっしり詰まっていた。
microphone,"【名】マイク, マイクロフォン",/ˈmaɪ.krəˌfoʊn/,I need to buy a new microphone for my podcast.,私はポッドキャスト用に新しいマイクを買う必要があります。
residential,"【形】住宅の, 住居用の",/rɪˈzɪdənʃəl/,I live in a residential area.,私は住宅地に住んでいます。
signature,"【名】署名, サイン;【形】特徴的な",/sɪɡˈnətʃər/,He signed the document with his autographic signature.,彼は自筆の署名で文書にサインしました。
attendee,"【名】出席者, 参加者",/əˌtɛnˈdiː/,There were over 100 attendees at the conference.,会議には100人以上の参加者がいました。
desperate,"【形】絶望的な, 必死の",/dɛspərət/,She was desperate to find a job.,彼女は仕事を見つけるのに必死だった。
accommodate,"【動】...を収容する, ...に対応する",/əˈkɑːmədeɪt/,The hotel can accommodate up to 500 guests.,ホテルは最大500名まで収容可能です。
exceptional,"【形】例外的な, 非常に優れた",/ɪkˈsɛpʃənəl/,She has exceptional talent in singing.,彼女は歌唱力が非常に優れている（例外的）です。
utility,"【名】公共サービス, 実用性",/juˈtɪlɪti/,The utility company provides electricity and water to the residents.,公共事業会社は住民に電気と水を供給しています。
workforce,"【名】労働力, 全従業員",/'wɜrkˌfɔrs/,The company is investing in training programs to develop a skilled workforce.,会社は熟練した労働力を育成するために研修プログラムに投資しています。
accountant,【名】会計士,/əˈkaʊntənt/,The accountant made a misstatement in the financial report.,会計士は財務報告書で誤った陳述をしました。
pharmacist,【名】薬剤師,/fɑrˈməsɪst/,The pharmacist filled the prescription for the patient.,薬剤師は患者の処方箋を調剤しました。
defective,"【形】欠陥のある, 不良の",/dɪˈfɛktɪv/,The company issued a recall for the defective product.,会社は欠点のある製品のリコールを発表しました。
petition,【名】嘆願書;【動】...を嘆願する,/pəˈtɪʃən/,I signed a petition to save the endangered species.,絶滅の危機に瀕した種を救うために請願に署名しました。
plow,【名】すき;【動】すきをかける,/plaʊ/,The farmer used a plow to till the soil.,農夫は土を耕すために鋤を使いました。
earthquake,【名】地震,/ˈɜrθkweɪk/,The earthquake shook the entire city.,地震が街全体を揺らした。
thorough,"【形】徹底的な, 完全な",/ˈθʌrə/,He conducted a thorough investigation into the matter.,彼はその問題について徹底的な調査を行った。
omit,【動】...を省略する,/əˈmɪt/,I accidentally omitted a word from the sentence.,私は誤って文から単語を省略しました。
purchaser,"【名】購入者, 買主",/ˈpɜːrtʃəsər/,The purchaser bought a new car.,購入者は新しい車を買いました。
soar,【動】急上昇する;【名】急上昇,/sɔːr/,The eagle soared high in the sky.,ワシは空高く舞い上がった。
suburb,【名】郊外,/səˈbɜːrb/,I live in a quiet suburb.,私は静かな郊外に住んでいます。
shuttle,"【名】シャトル, 送迎バス",/ˈʃʌtəl/,I took the shuttle to the airport.,私はシャトルバスで空港に行きました。
aboard,"【副】乗って, 乗船して",/əˈbɔːrd/,"The bus fell off the cliff, killing all 10 aboard.",バスが崖から転落し、乗っていた１０名全員が死亡した。
cautious,"【形】用心深い, 慎重な",/ˈkɔːʃəs/,She is always cautious when crossing the road.,彼女は道路を渡る時にいつも注意深いです。
actively,【副】積極的に,/ˈæk.tɪv.li/,She is actively participating in the community service.,彼女は積極的に地域奉仕活動に参加しています。
purse,【名】財布,/pɜːrs/,She carried a small purse with her.,彼女は小さなハンドバッグを持っていました。
adjacent,【形】隣接した,/əˈdʒeɪsənt/,The two buildings are adjacent to each other.,その二つの建物は互いに近接しています。
briefcase,"【名】書類かばん, ブリーフケース",/briːfkeɪs/,I left my briefcase at the office.,私はオフィスに私の書類かばんを置き忘れました。
allergy,【名】アレルギー,/ˈælɚdʒi/,I have an allergy to peanuts.,私はピーナッツアレルギーです。
pie,【名】パイ,/paɪ/,I love eating pie.,私はパイを食べるのが大好きです。
rose,【名】バラ,/ɹoʊz/,I bought a rose for her.,彼女のためにバラを買った。
spill,【動】こぼす;【名】こぼれ,/spɪl/,Be careful not to spill your drink.,飲み物をこぼさないように気をつけてください。
donut,【名】ドーナツ,/'doʊnʌt/,I love eating donuts.,私はドーナツを食べるのが大好きです。
bakery,"【名】パン屋, ベーカリー",/ˈbeɪkəri/,I bought a delicious loaf of bread from the local bakery.,私は地元のパン製造所から美味しいパンを買いました。
meantime,【副】その間に;【名】合間,/miːn.taɪm/,"In the meantime, I will finish my work.",その間に、私は仕事を終わらせます。
toll,"【名】通行料, 料金;【動】(損害などを)もたらす",/təʊl/,The toll for using the highway was surprisingly high.,高速道路の使用料金が驚くほど高かった。
nomination,"【名】指名, 推薦",/nɑmɪˈneɪʃən/,Her nomination for the award was well-deserved.,彼女の受賞のノミネートは当然だった。
behalf,【名】(人の)ため,/bɪˈhɑːf/,I am speaking on behalf of my friend.,私は友人の味方として話しています。
biology,【名】生物学,/baɪˈɑlədʒi/,I am studying biology to understand the complexity of life.,私は生命の複雑さを理解するために生物学を勉強しています。
birthday,【名】誕生日,/ˈbɜːrθ.deɪ/,My brother's birthday is on the third of June.,私の兄の誕生日は6月3日です。
pillow,【名】枕,/ˈpɪloʊ/,I like to sleep with a soft pillow.,私は柔らかいまくらで寝るのが好きです。
carpenter,【名】大工,/ˈkɑːrpəntər/,The carpenter built a beautiful wooden table.,大工は美しい木製のテーブルを作りました。
projector,【名】プロジェクター,/prəˈdʒɛktər/,The projector is set up in the conference room.,プロジェクターは会議室に設置されています。
chairperson,"【名】議長, 委員長",/ˈtʃɛərˌpɜrsən/,The chairperson called the meeting to order.,議長が会議を開会した。
storeroom,"【名】物置, 貯蔵室",/ˈstɔːr.ruːm/,I need to organize the storeroom.,倉庫を整理する必要があります。
wheelchair,【名】車椅子,/'wiːltʃɛər/,She uses a wheelchair to get around.,彼女は車椅子を使って移動しています。
supermarket,【名】スーパーマーケット,/suːpərˌmɑːrkɪt/,I went to the supermarket to buy some food.,私は食べ物を買うためにスーパーマーケットに行きました。
thunderstorm,【名】雷雨,/ˈθʌndərˌstɔrm/,I was scared when the thunderstorm hit last night.,昨夜、大雷雨が襲ってきた時、私は怖かった。
toiletry,"【名】洗面用具, トイレタリー",/tɔɪlətri/,I packed my toiletries for the trip.,旅行用に洗面用品を詰めました。
website,【名】ウェブサイト,/ˈwɛb.saɪt/,I found a great website for learning languages.,言語学習のための素晴らしいウェブサイトを見つけました。
rainy,"【形】雨の, 雨模様の",/ˈreɪni/,"The sky was a gloomy, rainy day.",空は陰気な、雨の日でした。
considerably,"【副】かなり, 相当に",/kənˈsɪdərəbli/,The price of the car has increased considerably.,車の価格はかなり上がりました。
cooler,"【名】クーラー, 冷蔵庫",/'kuːlər/,I need to buy a new cooler for my computer.,私はコンピューター用の新しい冷却装置を買う必要があります。
cordless,【形】コードレスの,/ˈkɔːrdləs/,I bought a cordless vacuum cleaner for easy cleaning.,簡単な掃除のために、コードレスの掃除機を買いました。
correctly,【副】正確に,/kəˈrɛktli/,Please answer the question correctly.,質問に正しく答えてください。
librarian,【名】司書,/lʌɪˈbrɛə.ri.ən/,The librarian helped me find a book.,司書は私が本を見つけるのを手伝ってくれました。
daytime,【名】昼間,/deɪtaɪm/,I prefer to work during the daytime.,私は昼間に働くことを好みます。
dentist,【名】歯科医,/dɛn.tɪst/,I have an appointment with my dentist tomorrow.,明日、私は歯科医との予約があります。
departmental,【形】部門の,/dɪˈpɑːrtməntəl/,The company has a departmental structure with different divisions.,会社は異なる部門を持つ部門別の構造を持っています。
seller,"【名】販売者, 売り手",/'sɛlər/,The seller offered a discount on the product.,売り手はその商品に割引を提供しました。
shipment,"【名】出荷, 発送",/ˈʃɪpmənt/,The shipment arrived at the port on time.,船積みは予定通り港に到着しました。
picnic,【名】ピクニック,/ˈpɪknɪk/,We had a picnic in the park.,公園でピクニックをした。
silently,【副】静かに,/'saɪləntli/,"She sat silently in the corner, lost in her own thoughts.",彼女は静かに角に座って、自分の考えにふけっていた。
enjoyable,"【形】楽しい, 愉快な",/ɪnˈdʒɔɪəbəl/,The party was enjoyable.,パーティーは楽しかったです。
escalator,【名】エスカレーター,/ˈɛskəleɪtər/,I took the escalator to the second floor.,私はエスカレーターで2階に行きました。
spam,【名】スパム (迷惑メール),/spæm/,I received a lot of spam emails today.,今日はたくさんのスパムメールを受け取りました。
pill,【名】錠剤,/pɪl/,I take a pill every morning.,私は毎朝丸薬を飲みます。
finalize,【動】最終決定する,/faɪnəˌlaɪz/,I need to finalize the project by the end of the week.,週末までにプロジェクトを完成させる必要があります。
firefighter,【名】消防士,/ˈfaɪərˌfaɪtər/,The firefighter bravely entered the burning building to rescue the trapped residents.,消防士は勇敢に燃えている建物に入り、閉じ込められた住民を救出しました。
stripe,"【名】縞, ストライプ",/stɹaɪp/,The national flag of the USA is called the Stars and Stripes.,合衆国の国旗は星条旗と呼ばれる。
flexibility,【名】柔軟性,/flɛksəˈbɪləti/,Flexibility is important in adapting to new situations.,新しい状況に適応するためには柔軟性が重要です。
flu,【名】インフルエンザ,/flʌ/,I caught the flu and had to stay home for a week.,私はインフルエンザにかかり、1週間家にいなければなりませんでした。
subway,【名】地下鉄,/ˈsʌbˌweɪ/,I took the subway to work.,私は仕事への地下鉄を乗りました。
sunshine,【名】日光,/sʌnʃaɪn/,The skies were full of sunshine.,空は陽射しがいっぱいだった。
housekeeper,"【名】家政婦, ハウスキーパー",/ˈhaʊskiːpər/,The housekeeper takes care of all the household chores.,主婦は家事全般を担当します。
tempt,【動】誘惑する,/tɛmpt/,The sunshine tempted people out.,太陽の日差しに誘われて人々が外出した。
hallway,【名】廊下,/hɔːlweɪ/,I walked down the hallway to get to my classroom.,私は教室に行くために廊下を歩きました。
translation,【名】翻訳,/trænˈsleɪʃən/,Translation is the process of converting text from one language to another.,訳すことは、テキストを一つの言語から別の言語に変換するプロセスです。
hardworking,"【形】勤勉な, 働き者の",/hɑːdˈwɜːrkɪŋ/,She is a hardworking student.,彼女は勤勉な学生です。
headphone,【名】ヘッドホン,/ˈhɛdfoʊn/,I forgot to bring my headphones to the gym.,ジムにヘッドフォンを持ってくるのを忘れてしまった。
tropical,【形】熱帯の,/'tɹɒpɪkəl/,I love exploring tropical destinations.,私は熱帯地域を探検するのが大好きです。
efficiently,【副】効率的に,/ɪˈfɪʃəntli/,He completed the task efficiently.,彼は効率的に仕事を完了した。
homeless,【形】ホームレスの;【名】ホームレスの人々,/həʊmləs/,She saw a homeless man sleeping on the park bench.,彼女は公園のベンチで寝ているホームレスの男性を見ました。
unlimited,【形】無制限の,/ʌnˈlɪmɪtɪd/,The possibilities are unlimited.,可能性は限りないです。
usage,"【名】使用, 用法",/ˈjuːsɪdʒ/,I need help with the usage of this software.,このソフトウェアの使い方について助けが必要です。
vanilla,【名】バニラ,/vəˈnɪlə/,I love the taste of vanilla ice cream.,私はバニラアイスクリームの味が大好きです。
vegetarian,【名】菜食主義者;【形】菜食主義の,/vɛdʒəˈtɛəriən/,I am a vegetarian and I don't eat fish or meat for moral or health reasons.,私はベジタリアンで、道徳上または健康上の理由で魚や肉を食べません。
infer,"【動】推測する, 推論する",/ɪnˈfɜr/,"From the evidence presented, we can infer that she is guilty.",提示された証拠から、彼女が有罪であると推測することができます。
visa,【名】ビザ,/'viːzə/,I need to apply for a visa to visit Japan.,日本を訪れるためにビザを申請する必要があります。
volleyball,【名】バレーボール,/vɑliˌbɔl/,I played volleyball with my friends today.,今日は友達とバレーボールをしました。
incoming,"【形】入ってくる, 着信の",/ˈɪnkʌmɪŋ/,I saw an incoming message on my phone.,携帯電話に着信メッセージが届いたのを見ました。
wallet,【名】財布,/'wɑːlɪt/,I always keep my money and cards in my wallet.,私はいつもお金やカードを財布に入れています。
wireless,"【形】無線の, ワイヤレスの",/'waɪərlɛs/,I love using wireless headphones while working out.,私は運動中に無線ヘッドフォンを使うのが好きです。
yearly,【形】毎年の;【副】年に一度,/jɪrli/,I go on a yearly vacation with my family.,私は家族と年に一度の休暇に行きます。
lifeguard,"【名】ライフガード, 救助員",/ˈlaɪfgɑːrd/,The lifeguard kept a close watch on the swimmers at the beach.,海水浴場で、看視人は泳ぐ人々を注意深く見守った。
fleet,"【名】艦隊, 船団",/fliːt/,The fleet of ships sailed across the ocean at a fast speed.,船団は速い速度で海を航海しました。
microscope,【名】顕微鏡,/ˈmaɪkɹəˌskoʊp/,I used a microscope to examine the cells.,私は顕微鏡を使って細胞を観察しました。
mosquito,【名】蚊,/məˈskitoʊ/,I got bitten by a mosquito last night.,昨晩、蚊に刺されました。
noisy,"【形】騒がしい, うるさい",/'nɔɪzi/,The party next door was so noisy that I couldn't concentrate on my work.,隣のパーティーがとてもやかましくて、仕事に集中できませんでした。
pant,【名】パンツ,/pænt/,"After running the marathon, he was panting heavily.",マラソンを走った後、彼は激しく喘いでいた。
optional,"【形】任意の, オプションの",/ˈɑp.ʃə.nəl/,An air conditioner is available as an optional extra.,エアコンはオプションの付属品です。
outdoor,"【形】屋外の, 野外の",/ˈaʊtˌdɔr/,Rugby is an outdoor game.,ラグビーは屋外競技である。
password,【名】パスワード,/ˈpæs.wɜːrd/,What is the password to access the secret room?,秘密の部屋にアクセスするための合い言葉は何ですか？
photographer,【名】写真家,/fəˈtɑːɡrəfər/,The photographer captured the beautiful sunset.,写真家は美しい夕日を捉えました。
postal,【形】郵便の,/'poʊstl/,I need to go to the postal office to send this package.,この荷物を送るために郵便局に行かなければなりません。
poster,【名】ポスター,/'poʊstər/,I have a poster of my favorite band in my room.,部屋に自分の好きなバンドのポスターを持っている。
professionally,【副】専門的に,/pɹəˈfɛʃənəli/,She handles every situation professionally.,彼女はどんな状況でも職業的に対処します。
punctual,【形】時間に正確な,/pʌŋk.tʃu.əl/,He is always punctual for meetings.,彼はいつも会議に時間通りに来る。
reassure,【動】安心させる,/ˌriː.əˈʃʊr/,I reassured my friend that everything would be okay.,私は友達にすべてが大丈夫だと安心させました。
recipient,【名】受取人,/rɪˈsɪpiənt/,The recipient of the award was overwhelmed with joy.,受賞者は喜びに打ち震えました。
repeatedly,【副】繰り返し,/rɪˈpiːtɪdli/,He repeatedly asked her to go out with him.,彼は彼女に何度もデートに行くように頼んだ。
