entry,meaning,ipa,example_sentence,translated_sentence
enthusiastic,"【形】熱心な, 熱狂的な",/ɪnˌθ(j)uːziˈæstɪk/,The concert was jam-packed with enthusiastic fans.,コンサート会場は熱狂的なファンでぎっしり詰まっていた。
residential,"【形】住宅の, 居住の",/rɪˈzɪdənʃəl/,I live in a residential area.,私は住宅地に住んでいます。
signature,"【名】署名, サイン;【形】特徴的な, 代表的な",/sɪɡˈnətʃər/,He signed the document with his autographic signature.,彼は自筆の署名で文書にサインしました。
trait,"【名】特性, 特徴",/ treɪt /,Her kindness is a trait that everyone admires.,彼女の優しさは、誰もが称賛する特徴です。
desperate,"【形】必死の, 絶望的な",/dɛspərət/,She was desperate to find a job.,彼女は仕事を見つけるのに必死だった。
accommodate,"【動】...を収容する, ...に適応させる",/əˈkɑːmədeɪt/,The hotel can accommodate up to 500 guests.,ホテルは最大500名まで収容可能です。
accrual,"【名】発生, 増加",/əˈkruːəl/,The company's financial statement showed a significant increase in the accrual of unpaid expenses this quarter.,同社の財務諸表には、今期、未払い費用の発生が大幅に増加したことが記載されていました。
exceptional,"【形】例外的な, 並外れた",/ɪkˈsɛpʃənəl/,She has exceptional talent in singing.,彼女は歌唱力が非常に優れている（例外的）です。
utility,"【名】公益事業, 公共料金",/juˈtɪlɪti/,The utility company provides electricity and water to the residents.,公共事業会社は住民に電気と水を供給しています。
workforce,"【名】労働力, 全従業員",/'wɜrkˌfɔrs/,The company is investing in training programs to develop a skilled workforce.,会社は熟練した労働力を育成するために研修プログラムに投資しています。
accountant,"【名】会計士, 経理士",/əˈkaʊntənt/,The accountant made a misstatement in the financial report.,会計士は財務報告書で誤った陳述をしました。
conspiracy,"【名】陰謀, 共謀",/kənˈspɪrəsi/,There is a conspiracy to overthrow the government.,政府を転覆させるための陰謀がある。
delegation,"【名】代表団, 委任",/dɛlɪˈɡeɪʃən/,The delegation was sent to represent our company at the conference.,代表派遣のため、私たちの会社から代表団が会議に派遣されました。
rigorous,"【形】厳格な, 厳密な",/rɪˈɡɔːrəs/,He has a rigorous study schedule.,彼は厳格な勉強スケジュールを持っています。
